,link,text,user,likes,quotes,retweets,comments
49,https://twitter.com/MrBeast/status/1707869557161955744#m,"Would you spend 100 days in this room with a random stranger for $500,000? (Door is unlocked, if one of you leave before day 100 you both lose)",MrBeast,323247,12532,9627,88952
50,https://twitter.com/MrBeast/status/1707016946560938345#m,"They say it takes 10,000 hours to master something but I think we should switch the saying to 10,000 days",MrBeast,109705,385,5246,3741
51,https://twitter.com/MrBeast/status/1703839891342102563#m,"When I was 12 I basically decided I’d either become a YouTuber or die trying. There really wasn’t a reality in my head where I didn’t make it, just the time was the issue. I’d still be making videos at 70 years old even if no one watched them. (Luckily it didn’t get to that point lol) I’m grateful I found what I loved at a young age 🥰",MrBeast,62572,197,1513,1490
52,https://twitter.com/MrBeast/status/1703789620180246965#m,"Here’s how subscribers my channel has had every year on my birthday  12 - 1 13 - 10 14 - 25 15 - 76 16 - 1,003 17 - 1,955 18 - 28,927 19 - 1,047,042 20 - 4,727,599 21 - 18,073,754 22 - 34,746,190 23 - 61,680,980 24 - 94,901,362 25 - 151,049,576 26 - 184,000,000 (and counting I’m 25)",MrBeast,288005,2058,10897,7564
53,https://twitter.com/MrBeast/status/1703124809855418687#m,"We compare cars at these price points in the video   $1 $100,000 $200,000 $300,000 $500,000 $1,000,000 (10x) $2,000,000 $10,000,000 $30,000,000 $50,000,000 $100,000,000",MrBeast,33152,58,887,1674
54,https://twitter.com/MrBeast/status/1703122541316112671#m,"I can’t believe we got a flying car, a boat car, and a $100,000,000 car for our new video lol",MrBeast,97287,364,2830,4026
55,https://twitter.com/MrBeast/status/1701812094033952824#m,I thought this guy was Elon Musk but as I got closer I realized he wasn’t but I was in too deep on the picture to back out,MrBeast,281069,402,5813,5414
56,https://twitter.com/MrBeast/status/1700848335853175155#m,Not gonna lie it’s the next day and I went to stand up and my right knee was throbbing lol,MrBeast,116175,184,2683,2481
57,https://twitter.com/MrBeast/status/1700561306481279137#m,"As always the sidemen charity match was awesome. It raised millions for charity, had over 2,700,000 concurrent viewers, and me/all the creators had an amazing time. Well done sidemen ❤️",MrBeast,144863,111,3617,2150
58,https://twitter.com/MrBeast/status/1699504653971472394#m,My mouth is now closed in all my thumbnails but the war has just begun. We must not rest until mouths are closed in everyone’s thumbnails🫡,MrBeast,41638,69,727,1133
59,https://twitter.com/MrBeast/status/1699459457002918138#m,I closed my mouth on all my thumbnails and the watch time went up on every video lol,MrBeast,161737,945,3725,4519
60,https://twitter.com/MrBeast/status/1698002980555878517#m,"Just uploaded, we got the world’s largest shredder and dropped things in it lol",MrBeast,72439,218,2341,3804
61,https://twitter.com/MrBeast/status/1697632897623118244#m,"In tomorrow’s video we knocked over the world’s largest domino chain, cut a roller coaster and half and had manikins ride it, blew up a 100 foot creeper, tossed things in the world’s largest shredder, saw if a $100,000 safe could withstand $100,000 in TNT, etc.  It’s my favorite experiments video 🥰",MrBeast,38412,246,1822,2533
62,https://twitter.com/MrBeast/status/1695493740331446648#m,"In order to upload weekly videos later this year I’ve been filming every single day (and only have a couple days off filming between now and end of year) and I’m dying mentally. I hope you guys love these videos when they go up, I’m pushing myself to the max to get them done 😭",MrBeast,162991,531,4321,7642
63,https://twitter.com/MrBeast/status/1694721530981409167#m,"We have a couple videos this year that have open brand slots! Our average video is doing over 100,000,000 views in a week (most the video’s views come after the first week) and all the $ you pay goes towards the content!   Dm @Reedjd if interested",MrBeast,55457,148,1745,2506
64,https://twitter.com/MrBeast/status/1693713146807021708#m,Training for the @elonmusk vs Zuckerberg undercard,MrBeast,142430,293,3745,4126
65,https://twitter.com/MrBeast/status/1693322109236191439#m,New Beast Philanthropy video! We built an orphanage and we’re obviously using the revenue from the video to sustain it so give it a watch to help out :D  https://invidious.fdn.fr/6x_b11Kyrco,MrBeast,38262,181,2337,2033
66,https://twitter.com/MrBeast/status/1693291545120624730#m,7 days later we broke it again 😭  Three peat,MrBeast,59843,160,1443,1617
67,https://twitter.com/MrBeast/status/1692947508270404031#m,Can we get MrBeastOlympics trending for fun? ❤️,MrBeast,104729,438,4489,5572
68,https://twitter.com/MrBeast/status/1692930307610104188#m,I flew down a person from EVERY country on earth to compete for a solid gold medal! Go watch :D,MrBeast,222803,1883,6686,7120
69,https://twitter.com/MrBeast/status/1692663701935890896#m,Been a little over a year of lifting 🥰,MrBeast,520678,2201,11139,13029
70,https://twitter.com/MrBeast/status/1692570687578222634#m,Tomorrow every country on earth competes for a solid gold 20 pound medal 👀,MrBeast,77493,920,3833,2959
71,https://twitter.com/MrBeast/status/1691869070696526002#m,This Saturday every country on earth competes in my most insane challenges and sets yet 👀,MrBeast,68625,315,2552,3397
72,https://twitter.com/MrBeast/status/1690922693439234048#m,"Here’s a sneak peak of next Saturday’s video! (this is just one of the challenges, the other sets are also insane 🤪)",MrBeast,84836,368,3334,2973
73,https://twitter.com/MrBeast/status/1690752344999260160#m,"Welp, 7 days later and we just broke the record again by another 3 million views lol",MrBeast,69430,98,1451,1420
74,https://twitter.com/MrBeast/status/1690494514178191360#m,Next Saturday’s video I had a subscriber from every country on earth compete in my own version of Extreme Olympics… the sets are 2x bigger than our squid game sets and it’s my biggest video ever (here are some random screenshots 😊),MrBeast,158106,765,5102,4462
75,https://twitter.com/MrBeast/status/1690393036960722944#m,New video with Pewdiepie and Sidemen just went live!,MrBeast,63315,139,1790,2605
76,https://twitter.com/MrBeast/status/1689758373020127232#m,"Now that Twitter is called X, does that nullify our agreement?",MrBeast,92072,90,1414,3357
77,https://twitter.com/MrBeast/status/1688586852872208390#m,Our video dropping on Saturday has Pewdiepie and the Sidemen in it 👀,MrBeast,151734,455,4084,3678
78,https://twitter.com/MrBeast/status/1688213268312322048#m,New video broke the world record for most views in 24 hours on a non music video! I’m living the life I would dream of every night when I was 13.. I love all of you and thank you so much for watching our videos!!! I’ll never take you all for granted 🥺❤️,MrBeast,236934,561,7744,5402
79,https://twitter.com/MrBeast/status/1687881101417783296#m,I’m doing this for Pewdiepie 🫡,MrBeast,696667,1972,25465,10627
80,https://twitter.com/MrBeast/status/1687856614219665408#m,I spent 7 days living on a raft in the middle of the ocean.. go watch :D,MrBeast,232467,619,5970,5850
81,https://twitter.com/MrBeast/status/1683176302503772161#m,"Ngl the UK goes harder than I thought, I’m having someone drive to stores and send pics and most look like this lol  I promise we’ll fix this asap!",MrBeast,23650,94,718,2714
82,https://twitter.com/MrBeast/status/1682530774103339008#m,These took way longer to build then I thought it would lol,MrBeast,129611,252,3591,3821
83,https://twitter.com/MrBeast/status/1681402739060817930#m,Feastables launched in the UK 10 days ago but everyday before I can tweet about it the stores sell out 😅  Trying to get more over!!!  Y’all are crazy ❤️,MrBeast,119523,292,2929,8054
84,https://twitter.com/MrBeast/status/1679797201449435136#m,Whoever has the most liked reply to this in 48 hours gets all my Twitter revenue for the next month!,MrBeast,544107,4544,24755,246601
85,https://twitter.com/MrBeast/status/1679500879127367680#m,My friend was randomly selected by Hershey to be in a blind taste test and the whole study was him trying Feastables then Hershey’s and rating them lol,MrBeast,172682,164,3719,3226
86,https://twitter.com/MrBeast/status/1677709925663797249#m,"I launched 100,000 fireworks inside my house.. go watch the new video!",MrBeast,111439,481,3593,4529
87,https://twitter.com/MrBeast/status/1676312181313269776#m,Today is America day 🦅,MrBeast,104021,271,4612,4123
88,https://twitter.com/MrBeast/status/1675971756077596672#m,He just followed me 👀,MrBeast,73790,83,1187,1983
89,https://twitter.com/MrBeast/status/1675517366006890500#m,I hit my tweet viewing limit for the day. Wtf do I do with my life now,MrBeast,328846,2014,16433,14380
90,https://twitter.com/MrBeast/status/1675189736204378113#m,Today feels like a great day for Jeff Bezos to give me a billion dollars for fun,MrBeast,311372,1405,9366,11022
91,https://twitter.com/MrBeast/status/1674761869658058759#m,50 million people saw me in my underwear yesterday.. why do I have this much power? 😂,MrBeast,242121,785,6217,7687
92,https://twitter.com/MrBeast/status/1674429048095916032#m,"Woke up and realized I was obese so I started lifting and walking 12,500 steps a day. Still got a long way to being yoked but I’m happy with my progress so far 🥰",MrBeast,731825,8243,22544,25984
93,https://twitter.com/MrBeast/status/1672952297163218946#m,"I was invited earlier this month to ride the titanic submarine, I said no. Kind of scary that I could have been on it",MrBeast,603657,8628,31686,16603
94,https://twitter.com/MrBeast/status/1670969187605331973#m,Despite ^ I’m still gonna share everything I know publicly because life would be boring if I kept it all in haha. Also helping small creators is fun  @ColinandSamir let’s crank one out!,MrBeast,38217,64,768,1180
95,https://twitter.com/MrBeast/status/1670830281450831880#m,Sometimes I regret going on podcasts and sharing everything I know about YouTube. I thought people would use the knowledge to innovate and be inspired but tons just copy exactly what I do and don’t change anything. Kind of sad how many “MrBeast Clones” there are.,MrBeast,294595,1304,9501,9022
96,https://twitter.com/MrBeast/status/1670596628640587777#m,Can we end the trend of photoshopping fake tweets of mine as thumbnails? Thx,MrBeast,105331,94,1500,1807
97,https://twitter.com/MrBeast/status/1670595966448070656#m,Thank god for this YouTube video or I wouldn’t have known I’m dying in three years 🙌🏻,MrBeast,349172,467,8756,6015
98,https://twitter.com/MrBeast/status/1667986192212828161#m,Was 40%+ body fat and now I’m sub 20% body fat. Give me 6 more months and I should be able to share some sick before and after pics 😊,MrBeast,80570,82,942,1489
99,https://twitter.com/MrBeast/status/1667984503808176129#m,"I’ve been lifting religiously for 10 months (with trainer, 12k steps a day, good sleep, good diet) and I’ve gone from obese to just lean. I have a new found respect for jacked people, this takes forever lol",MrBeast,295898,871,7124,6153
